539724019	1105250233
1108373616	2632925569
15554361	92447215
736036728	2283415999
29904288	700315602
346918708	410619537
25736902	27702908
1881293982	2242825532
19518846	312292084
428455228	979782272
16607896	403000592
25736902	172383321
27160719	174111075
173329715	341665914
57532010	110922005
821958523	924670086
20797623	292090221
41869431	863761814
21784477	35120520
35213	620033039
276398711	551560829
32342855	111241722
16352480	17569871
21384744	23542200
383076621	1126816986
537873502	553250464
250569737	284606311
16679833	33267755
14700716	2614836859
98573561	921733909
227038575	857380507
29904288	41067438
526782403	1278962491
214635031	392574968
21587797	523449282
243514934	1723203672
14354955	14709795
202501837	2312214362
43925013	398193180
562582004	575911665
45672676	1441438568
25587939	35120520
1711221583	2336220967
125460034	373756212
32843474	55500137
567907056	1242443682
2745611	15400055
18849717	42060815
57251215	630769975
32127962	110548604
30605696	1386152274
11435972	2324398741
929107014	2346432650
1245299430	1970273858
895078579	921733909
47224342	88108646
17504672	413090699
1276965817	2471900953
7506852	44009156
104856942	1315915429
242962806	1118740657
16662566	110533560
23024065	38761017
828511777	840143322
16249699	91494041
69624264	72559756
21503066	1974206870
773859901	2215205570
174023528	902606461
536771043	2368335888
35388164	609826182
1591998043	2233858531
151394301	522814114
15828403	18854356
713058866	913796498
810513	22714494
228154933	391013357
15460162	419851595
37376499	121983948
18829963	237015053
133172077	2723436980
153813550	195418895
52648859	142402666
1514734128	2164219754
1267943712	2367563502
15460162	896627192
590660087	1602794490
17243213	18928495
22567585	30806626
517061529	2646712825
40809894	2493750613
705856884	1272878102
1489606230	1909586118
134831552	322308666
276398711	2442018181
165854509	2342275716
31286273	284812300
15590150	25786777
100430710	348301026
44558059	88832497
24653818	102207518
429480581	1263651362
9985802	16265550
18926788	2861930382
21821881	158658704
32545173	233767434
372048950	1698341947
313757983	324242189
22330283	53990262
26708370	237400525
520557426	2202547764
16529873	31140005
30798124	318290457
261119875	371569096
66850511	970884986
20929072	29311855
15741041	18071344
368594184	1143538861
385853503	400590359
33031530	223046797
71963106	230035854
